(services),"(price, what the client pays in mxn)",(lab test instructions),
RX 1 CONVENIO LAB CENTRAL ADN,0.00,Presentar la momento de la toma de Proyección ropa cómoda y se sugiere un Familiar se encuentre presente. ,
RX 1 PROYECCION URGENTE EXTRA,0.00,,
RX 2 CONVENIO DIAGNOSTICO MOVIL,0.00,,
RX 2 CONVENIO LAB CENTRAL ADN,0.00,AL MOMENTO DE TOMA DE PROYECCIÓN CONTAR CON ROPA COMODA. SE SUGIERE FAMILIAR SE ENCUENTRE PRESENTE. ,
RX 9 PROYECCIONES,0.00,,
RX HORARIO EXTENDIDO,0.00,,
Sala de Rayos X,0.00,,
SALICILATOS (ACIDO ACETILSALICILICO),759.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
SANGRE OCULTA EN HECES,212.00,"1. MUESTRA EN HECES RECIENTE DEL TAMAÑO DE UNA NUEZ.\n2. NO COMER BETABEL, FRUTOS ROJAS O CARNES FRESCAS ",
SELENIO,"2,636.00",,
SERIE ESÓFAGO GASTRO DUODENAL,"1,356.00","PREVIA CITA\nAYUNO DE 6 A 8 HORAS, ACUDIR CON ROPA CÓMODA LISA Y SIN NÚNGUN TIPO DE METAL.\nSI EL PACIENTE ES UN BEBÉ  MENOR DE 12 MESES AYUNO DE 4 HORAS Y TRAER UN BIBERÓN CON AGUA HERVIDA Y OTRO BIBERÓN CON LECHE. PARA BEBÉS MAYORES DE 12 MESES AYUNO DE 6 HORAS Y ACUDIR CON BIBERÓN DE AGUA HERVIDA Y BIBERÓN DE LECHE\n",
SEROTONINA EN ORINA DE 24 HORAS,468.00,,
SERVICIO A DOMICILIO  LAB 10-20 KM,300.00,COBERTURA  DE SERVICIO A DOMICILIO DE LABORATORIOS 10-20 KM. ,
SERVICIO A DOMICILIO CARD 1-10KM,0.00,COBERTURA SERVICIO A DOMICILIO CARDIO 1-10 KM,
SERVICIO A DOMICILIO CARD 10-20KM,0.00,COBERTURA DE SERVICIO A DOMICILIO CARDIO 10-20KM,
SERVICIO A DOMICILIO CARD 30KM,0.00,COBERTURA DE SERVICIO A DOMICILIO CARDIOLOGIA 30 KM,
SERVICIO A DOMICILIO CARD 5 KM ADIC,0.00,COBERTURA DE SERVICIO  A DOMICILIO CARDIO  5 KM ADICIONAL.,
SERVICIO A DOMICILIO LAB 1-10 KM,195.00,COBERTURA DE SERVICIO A DOMICILIO DE LABORATORIOS 1 - 10 KM,
SERVICIO A DOMICILIO LAB 5 KM ADICIONAL,500.00,COBERTURA A DOMICILIO  DE LABORATORIOS 5 KM ADICIONAL,
SERVICIO A DOMICILIO RX -CONVENIO GRUPO SALINAS 1-10KM,0.00,COBERTURA DE SERVICIO A DOMICILIO DE RX-CONVENIO GRUPO SALINAS 1-10 KM,
SERVICIO A DOMICILIO RX 1-10 KM,0.00,COBERTURA  DE SERVICIO A DOMICILIO DE RAYOS X 1-10 KM.,
SERVICIO A DOMICILIO RX 10-20 KM,0.00,COBERTURA DE SERVICIO A DOMICILIO DE RAYOS X 10 A 20 KM. ,
SERVICIO A DOMICILIO RX 5 KM ADICIONAL,0.00,COBERTURA DE SERVICIO A DOMICILIO DE RAYOS X 5 KM ADICIONAL. ,
SERVICIO CONVENIO CUERNAVACA,0.00,TARIFA DE SERVICIO A DOMICILIO CONVENIO CUERNAVACA,
servicio de medico por llamado ultrasonido,0.00,,
SERVICIOS INTEGRALES DE RADIOLOGÍA,0.00,,
SERVICIOS INTERPRETACION,0.00,,
SERVICIOS MÉDICOS,0.00,,
SERVRX,0.00,,
SIROLIMUS,962.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
SODIO,131.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
SODIO EN ORINA DE 24 HRS,140.00,RECOLECTAR ORINA DE 24 HRS. RECOLECTAR MUESTRA A PARTIR DE LA 2DA ORINA DE LA MAÑANA HASTA LA 1RA DEL SIGUIENTE DIA. TRAER MUESTRA EN ENVASE DE AGUA.,
SOMATOMEDINA C (IGF-1),556.00,AYUNO DE 8 HORAS MÍNIMO MÁXIMO 12,
SOMATOTROPINA (GH),282.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
Subcripción Alumni PNI,0.00,,
SUBESPECIALIDAD,"1,300.00","(Cardiología, Hematología, Internista)",
SUBPOBLACIÓN DE LINFOCITOS CD4/CD8,577.00,AYUNO PREVIO DE 4 A 12HRS\n,
SUTURA 1-3 PUNTOS,876.00,,
SUTURA 3-6 PUNTOS,"1,500.00",,
T3 LIBRE,269.00,,
T3 REVERSA,"1,007.00",,
T3 REVERSA,0.00,,
T3 UPTAKE,164.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
T3 UPTAKE,0.00,,
T4 LIBRE (TIROXINA LIBRE),0.00,,
T4 YODO,0.00,,
TAMIZAJE DE HEMOGLOBINAS EN TAMIZ NEONATAL,346.00,AYUNO DE 2 A 4 HORAS,
TARIFAFIJA POR TOMA A DOMICILIO CONVENIO GENESIA,0.00,TARIFA FIJA POR TOMA A DOMICILIO / CONVENIO GENESIA,
TECNICO RADIOLOGO DE HEMODINAMIA,0.00,,
Técnico radiólogo de Hemodinamia,0.00,,
Técnico radiólogo en quirófano,0.00,,
"Técnico radiólogo en quirófano Urgente, Noc o Fest",0.00,,
TEOFILINA (AMINOFILINA),388.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TESTOSTERONA LIBRE,237.00,AYUNO DE 8 HORAS,
TESTOSTERONA TOTAL,331.00,AYUNO MÍNIMO DE 8,
TIEMPO DE COAGULACION,0.00,,
TIEMPO DE COAGULACIÓN,118.00,,
TIEMPO DE PROTROMBINA,190.00,AYUNO DE 6 HORAS,
TIEMPO DE PROTROMBINA,190.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
TIEMPO DE REPTILASA,468.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TIEMPO DE TROMBINA,187.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TIEMPO DE TROMBOPLASTINA PARCIAL ACTIVADO (TTPA),190.00,AYUNO DE 6 HORAS,
TIMPANOMETRIA,780.00,,
TINCION DE GRAM,146.00,,
TINCION DE WRIGHT,118.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TINCION DE ZIEHL NEELSEN,187.00,,
TIROGLOBULINA,293.00,AYUNO DE 8 HORAS,
TIROXINA (T4) CAPTACION,164.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TIROXINA (T4) CAPTACIÓN,0.00,,
TIROXINA (T4) LIBRE,239.00,AYUNO MINIMO DE 8 HRS.,
TIROXINA (T4) NEONATAL,200.00,4 HRS DE AYUNO .,
TIROXINA (T4) TOTAL,200.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TIROXINA (T4) YODO,140.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TIROXINA LIBRE,0.00,,
TOMA DE MUESTRA,354.00,,
TOMA DE MUESTRA LABORATORIO,0.00,,
TOMOGRAFÍA,0.00,,
TOMOGRAFÍA CONTRASTADA SUC. IMED,"3,500.00",,
TOMOGRAFIA DOBLE CONTRASTE,"4,900.00",,
TOMOGRAFIA SIMPLE COMPARATIVA SUC MED,"3,400.00",,
TOMOGRAFIA SIMPLE SUC IMED,"2,400.00",,
TRANSFERRINA,247.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TRANSGLUTAMINASA TISULAR (TTG),"1,431.00","AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TRÁNSITO INTESTINAL,"1,153.00","AYUNO DE 6 A 8 HORAS, ACUDIR CON ROPA LISA CÓMODA, SIN NUNGÚN TIPO DE METAL\nPREVIA CITA",
TRANSPORTE,354.00,,
TRIGLICÉRIDOS,118.00,"\nAYUNO DE 8 A 12 HORAS.\nEVITAR LA NOCHE ANTERIOR COMIDAS RICAS EN GRASAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TRIPLE MARCADOR GESTACIONAL,400.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12.\nES IMPORTANTE PRESENTAR EL ÚLTIMO ULTRASONIDO REALIZADO Y QUE TENGA UNA SEMANA COMO MÁXIMO ANTES DE REALIZAR LA TOMA DEL ESTUDIO\nLLENAR CUESTIONARIO AL MOMENTO DEL ESTUDIO\nEL ESTUDIO SOLO SE PODRÁ REALIZAR ENTRE LA SEMANA 15.5 Y 20.5 DE GESTACIÓN,
TRIYODOTIRONINA (T3) LIBRE,223.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TRIYODOTIRONINA (T3) TOTAL,212.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
TROPONINA I,881.00,,
TROPONINA T,929.00,AYUNO DE 8 HORAS\n,
TUBO ROJO,6.00,,
ULTRASONIDO 1 REGIÓN,0.00,"ROPA CÓMODA, ACUDIR 15 MINUTOS ANTES DE LA CITA",
ULTRASONIDO ABDOMEN COMPLETO,"1,943.00","PREVIA CITA\nPreparación:\n•	Aseo del día\n•	Ayuno de 8 horas\n     \n\n\nNota: *En caso de tratarse de Ultrasonido de Abdomen Completo se dividirá en dos partes, la primera se realizará en ayuno de líquidos y sólidos de 8 horas, posteriormente se le solicitará al paciente beber litro y medio de agua para llenar vejiga, es importante que durante el tiempo que el paciente bebe agua no pase a orinar; el paciente entrará a la segunda parte del estudio al notificar necesidad de orinar 8-9 de 10 en escala subjetiva.\n\n•	Si tiene alguna discapacidad o dificultad de movimiento avisar al agendar el estudio.\n",
ULTRASONIDO ABDOMEN INFERIOR,"1,167.24","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO ABDOMEN SUPERIOR,"1,263.00","PREVIA CITA\nPreparación:\n•	Aseo del día\n•	Ayuno de 8 horas\n       \nNota: *En caso de tratarse de Ultrasonido de Abdomen Completo se dividirá en dos partes, la primera se realizará en ayuno de líquidos y sólidos de 8 horas, posteriormente se le solicitará al paciente beber litro y medio de agua para llenar vejiga, es importante que durante el tiempo que el paciente bebe agua no pase a orinar; el paciente entrará a la segunda parte del estudio al notificar necesidad de orinar 8-9 de 10 en escala subjetiva.\n\n•	Si tiene alguna discapacidad o dificultad de movimiento avisar al agendar el estudio.",
ULTRASONIDO APENDICULAR,"1,167.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO BRAZO/ANTEBRAZO,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO CADERA BILATERAL,0.00,Ropa Cómoda*,
ULTRASONIDO CADERA DERECHA,"1,750.00",Ropa Cómoda*,
ULTRASONIDO CADERA IZQUIERDA,"1,750.00",ROPA CÓMODA\nPREVIA CITA,
ULTRASONIDO CODO,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO CONVENCIONAL,0.00,,
ULTRASONIDO DOPPLER,500.00,,
ULTRASONIDO DOPPLER ABDOMINAL,"3,401.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER ABDOMINAL (BROKER SEGUROS),0.00,ROPA CÓMODA.,
ULTRASONIDO DOPPLER AORTA,"3,401.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER ARTERIAL Y VENOSO 2 MIEMBROS,"5,831.00",PREVIA CITA,
ULTRASONIDO DOPPLER CAROTIDEO,"2,333.00","ROPA CÓMODA CON CUELLO AMPLIO, PREVIA CITA",
ULTRASONIDO DOPPLER HEPÁTICO,"3,791.00",PREVIA CITA,
ULTRASONIDO DOPPLER HÍGADO TRANSPLANTADO,"4,859.00",ROPA CÓMODA. PREVIA CITA,
ULTRASONIDO DOPPLER ILIOFEMORAL BILATERAL,"2,430.00",ULTRASONIDO DOPPLER ILIOFEMORAL BILATERAL,
ULTRASONIDO DOPPLER MIEMBRO PÉLVICO ARTERIAL 1,"2,429.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER MIEMBRO PÉLVICO VENOSO 1,"2,429.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER MIEMBRO PELVICO VENOSO 2,"3,401.00",PREVIA CITA,
ULTRASONIDO DOPPLER MIEMBRO TORÁCICO ARTERIAL 1,"2,429.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER MIEMBRO TORÁCICO VENOSO 1,"2,429.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER MIEMBRO TORÁCICO VENOSO 2,"3,401.00",,
ULTRASONIDO DOPPLER PÉLVICO ARTERIAL 2,"3,401.00",PREVIA CITA,
ULTRASONIDO DOPPLER PENE,"2,429.00","PREVIA CITA\nPONERSE EN CONTACTO CON EL DEPARTAMENTO DE RADIOLOGÍA PARA LAS INDICACIONES DEL MEDICAMENTO FARMACOESTIMULANTE.\nROPA CÓMODA, ACUDIR 15 MINUTOS ANTES DE LA CITA",
ULTRASONIDO DOPPLER RENAL,"3,401.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER RIÑON TRANSPLANTADO,"4,859.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER TESTICULAR,"1,651.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO DOPPLER TIROIDEO,"1,651.00",PREVIA CITA,
ULTRASONIDO DOPPLER VENOSO 2 EXTREMIDADES,"3,401.72",ULTRASONIDO DOPPLER VENOSO 2 EXTREMIDADES,
ULTRASONIDO ENDOVAGINAL,"1,750.00","PREVIA CITA\nPreparación:\n•	Aseo del día\n•	Vaciar vejiga\n•	De preferencia ayuno\n\nNota.- Es importante presentar la orden medica.",
ULTRASONIDO ESTRUCTURAL,"1,458.00","PREVIA CITA\nREALIZAR ESTUDIO DENTRO DE LA SEMANA 18-23 DE GESTACIÓN, ROPA CÓMODA",
ULTRASONIDO EXTREMIDAD ADICIONAL,0.00,,
ULTRASONIDO GINECOLÓGICO PÉLVICO,"1,167.00","INGERIR 1 LITRO DE AGUA 30 MINUTOS ANTES DEL ESTUDIO.\nROPA CÓMODA, PREVIA CITA",
ULTRASONIDO GLÁNDULAS SALIVALES,"1,167.00","ROPA CÓMODA, PREVIA CITA",
"ULTRASONIDO HÍGADO, VESÍCULA Y VÍAS BILIARES","1,263.00","PREVIA CITA\nPreparación:\n•	Aseo del día\n•	Ayuno de 8 horas\n\nNota: *En caso de tratarse de Ultrasonido de Abdomen Completo se dividirá en dos partes, la primera se realizará en ayuno de líquidos y sólidos de 8 horas, posteriormente se le solicitará al paciente beber litro y medio de agua para llenar vejiga, es importante que durante el tiempo que el paciente bebe agua no pase a orinar; el paciente entrará a la segunda parte del estudio al notificar necesidad de orinar 8-9 de 10 en escala subjetiva.\n\n•	Si tiene alguna discapacidad o dificultad de movimiento avisar al agendar el estudio.\n",
ULTRASONIDO HOMBRO,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO MAMA,866.00,"PREVIA CITA\n•	Aseo del día\n•	Axilar rasuradas o depiladas.\n•	No aplicar crema, desodorante ni talco.\n\nNota: Si tiene estudios previos, es importante los presente el día de su examen.\n\n•	Si tiene alguna discapacidad o dificultad de movimiento avisar al agendar el estudio.\n",
ULTRASONIDO MANO/TÚNEL DEL CARPO,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO MUÑECA,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO MÚSCULO ESQUELÉTICO,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO MUSLO/ULTRASONIDO PIERNA,"1,656.00","ROPA CÓMODA, PREVIA CITA",
"ULTRASONIDO OBSTÉTRICO 1,2,3 TRIMIESTRE",924.00,"ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO OBSTETRICO 3D,"3,500.00","ROPA CÓMODA, ACUDIR 15 MINUTOS ANTES DE LA CITA",
ULTRASONIDO OBSTETRICO 4D,"3,500.00",,
ULTRASONIDO OBSTETRICO DOPPLER ,"3,500.00",,
ULTRASONIDO PARED ABDOMINAL / HERNIA /INGUINAL,"1,167.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO PEDIATRICO CONVENCIONAL,"1,515.00",ROPA CÓMODA. PREVIA CITA,
ULTRASONIDO PEDIATRICO DOPPLER,"2,120.00","ROPA COMODA, PREVIA CITA",
ULTRASONIDO PÉLVICO,"1,167.24","INGERIR 1 LITRO DE AGUA 30 MINUTOS ANTES DEL ESTUDIO.\nROPA CÓMODA, PREVIA CITA",
ULTRASONIDO PENE MORFOLÓGICO,"1,943.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO PROSTÁTICO SUPRAPÚBICO,"1,167.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO RENAL,"1,167.00","PREVIA CITA\nPreparación:\n•	Aseo del día\n•	Ayuno de 8 horas\n\nNota: *En caso de tratarse de Ultrasonido de Abdomen Completo se dividirá en dos partes, la primera se realizará en ayuno de líquidos y sólidos de 8 horas, posteriormente se le solicitará al paciente beber litro y medio de agua para llenar vejiga, es importante que durante el tiempo que el paciente bebe agua no pase a orinar; el paciente entrará a la segunda parte del estudio al notificar necesidad de orinar 8-9 de 10 en escala subjetiva.\n\n•	Si tiene alguna discapacidad o dificultad de movimiento avisar al agendar el estudio.",
ULTRASONIDO RODILLA,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO SEGUIMIENTO FOLICULAR,"1,167.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO SUCURSAL ADHARA,"1,458.62",,
ULTRASONIDO TEJIDO BLANDO,"1,167.24","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO TESTICULAR / ULTRASONIDO ESCROTAL,"1,167.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO TESTICULAR INFANTIL,"1,554.00",,
ULTRASONIDO TIROIDES,"1,167.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO TOBILLO/ULTRASONIDO PIE,"1,556.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO TRANSFONTANELAR,"2,100.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDO TRANSRECTAL,"2,430.17","PREVIA CITA\nPreparación:\n•	Aseo del día\n•	Vaciar vejiga\n•	De preferencia ayuno\n\nNota.- Es necesario presentar la orden medica.\n",
ULTRASONIDO VASO EXTRA,0.00,,
ULTRASONIDO VÍAS URINARIAS,"1,263.00","ROPA CÓMODA, PREVIA CITA",
ULTRASONIDOS ESPECIALES,0.00,,
ULTRASONIDOS PARTES BLANDAS / PEQUEÑAS PARTES,"1,167.00","ROPA CÓMODA, PREVIA CITA",
UREA,118.00,AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.,
UROCULTIVO,399.00,"1. RECOLECTAR LA PRIMERA ORINA DEL DÍA EN UN FRASCO ESTÉRIL (SE CONSIGUE EN LA FARMACIA)\n2. SIN CONSUMIR ANTIBIÓTICOS 7 DÍAS ANTES.\n3. REALIZAR ASEO GENITAL CON AGUA Y JABÓN ANTES DE RECOLECTAR LA MUESTRA.\n4. RECOLECCIÓN A CHORRO MEDIO, EL PRIMER CHORRO SE DESECHA A LA TAZA Y LO DEMÁS SE RECOLECTA.\n5. SIN ESTAR EN PERÍODO MENSTRUAL",
Us Doppler Venoso 2 Extremidades,0.00,-Familiar presente al momento del Estudio\n- Contar con ropa cómoda,
USB,59.00,,
USG DOPPLER ARTERIAL Y VENOSO 1 MIEMBRO,"1,887.92",,
VACUNA 2 INFLUENZA,0.00,,
VACUNA DE INFLUENZA CONVENIO,0.00,,
VACUNA INFLUENZA,988.00,,
VDRL,140.00,AYUNO 4 HORAS,
VDRL(Venereal disease research laboratory test),0.00,,
VELOCIDAD DE SEDIMENTACION GLOBULAR (VSG),118.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
VENTA DE ACTIVO FIJO,0.00,,
"VIRUS ZIKA IgG, IgM",41.00,Ayuno de 8 a 10 horas,
VITAMINA A (RETINOL),"1,314.00",AYUNO DE 8 HORAS,
VITAMINA B 12 (CIANOCOBALAMINA),"1,190.00",AYUNO DE 8 HORAS,
VITAMINA B1,881.00,AYUNO DE 8 HORAS,
VITAMINA B6,"1,324.00",AYUNO DE 12 HORAS,
VITAMINA D (25-HIDROXI - COLECALCIFEROL),739.00,AYUNO MÍNIMO DE 8 HORAS MÁXIMO 12,
VITAMINA D3,0.00,,
VITAMINA D3,"2,510.00",AYUNO DE 8 HORAS,
VITAMINA E ((ALFA GAMMA TOCOFEROL),"2,765.00",AYUNO DE 8 A 10 HORAS,
WESTERN BLOT (Confirmatoria P/VIH 1),"2,645.00",AYUNO DE 8 HORAS,
WESTERN BLOT (Confirmatoria P/VIH 2),"5,970.00",AYUNO DE 8 HORAS,
YODO BUTANOLICO (IB),140.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
YODO PROTEÍCO (IP),212.00,"AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
ZINC EN ORINA DE 24 HRS,468.00,"1. RECOLECTAR A PARTIR DE LA SEGUNDA ORINA DE LA MAÑANA TERMINANDO CON LA PRIMERA ORINA DEL DÍA SIGUIENTE.\n2. RECOLECTAR EN UN CONTENEDOR DE AGUA VACÍO Y SECO.\n3. CONSERVAR EL RECIPIENTE EN UN LUGAR FRESCO, NO REFRIGERAR.\n",
ZINC EN SUERO,"1,552.00","AYUNO DE 8 A 12 HORAS.\nEVITAR REALIZAR EJERCICIO FÍSICO.\nEVITAR INGERIR ALCOHOL, TÉ, CAFEÍNA O TABACO 24 HORAS PREVIAS A LA EXTRACCIÓN DE LA MUESTRA.",
ZONA  DE COBERTURA CONVENIO CENTRAL ADN ,0.00,ZONA DE COBERTURA DE CONVENIO CENTRAL ADN ,
